■ 예제3 ? 제품 소개서 다국어 변환 실습용 제품 목록,,,,,,,,,,,
No,품목코드,제품명,카테고리,주요스펙,MOQ,단가(USD),인증,타겟시장,한국어소개,번역필요언어,우선순위
1,KE-92438,디스플레이,섬유,"규격:207mm, 중량:21kg, 전압:24V DC",4561,119,ISO 14001,터키,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,보통
2,KE-37840,IT장비,의료,"규격:362mm, 중량:30kg, 전압:220V",4440,718.4,"CE, RoHS",캐나다,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,낮음
3,KE-51635,식품가공기계,자동차,"규격:466mm, 중량:15kg, 전압:220V",3324,669.8,"KC, UL",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,높음
4,KE-82223,건축자재,기계,"규격:187mm, 중량:15kg, 전압:220V",2583,794.3,"KC, UL",싱가포르,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,보통
5,KE-31895,IT장비,IT,"규격:360mm, 중량:34kg, 전압:220V",1943,509.9,"ISO 9001, IATF",독일,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,긴급
6,KE-67795,자동차 부품,식품기계,"규격:315mm, 중량:34kg, 전압:24V DC",3586,245.1,"KC, UL",남아프리카,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,긴급
7,KE-72955,섬유/원단,화학,"규격:194mm, 중량:22kg, 전압:220V",3019,203,"ISO 9001, CE",UAE,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+아랍어,보통
8,KE-51511,IT장비,식품기계,"규격:394mm, 중량:47kg, 전압:24V DC",1104,503.7,"KC, CE, FCC",미국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,보통
9,KE-34819,섬유/원단,전자,"규격:496mm, 중량:5kg, 전압:24V DC",3712,38.4,"ISO 9001, IATF",네덜란드,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,낮음
10,KE-69102,건축자재,자동차,"규격:487mm, 중량:46kg, 전압:110V",699,218.6,"CE, T?V",일본,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,보통
11,KE-24291,포장재,섬유,"규격:277mm, 중량:2kg, 전압:110V",335,86.4,"FDA, CE",중국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,높음
12,KE-39488,디스플레이,화학,"규격:349mm, 중량:10kg, 전압:24V DC",4918,643.1,"FDA, CE",인도,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,보통
13,KE-89908,전자부품,자동차,"규격:187mm, 중량:30kg, 전압:110V",2239,328.3,"ISO 9001, IATF",인도,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,긴급
14,KE-84896,IT장비,전자,"규격:186mm, 중량:8kg, 전압:110V",1027,105.3,"CE, T?V",스페인,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,높음
15,KE-31118,섬유/원단,IT,"규격:299mm, 중량:32kg, 전압:220V",4290,538.3,"ISO 9001, CE",사우디아라비아,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,보통
16,KE-97637,금속 가공품,섬유,"규격:232mm, 중량:38kg, 전압:110V",1219,209.5,"CE, T?V",스페인,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+프랑스어,낮음
17,KE-38585,디스플레이,기계,"규격:463mm, 중량:46kg, 전압:110V",159,235.6,"KC, CE, FCC",폴란드,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,보통
18,KE-45261,LED 조명,IT,"규격:237mm, 중량:3kg, 전압:24V DC",3010,790.4,"CE, RoHS",영국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+아랍어,낮음
19,KE-92203,공구세트,전자,"규격:141mm, 중량:7kg, 전압:24V DC",1702,496.2,"CE, T?V",사우디아라비아,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,낮음
20,KE-85533,의료기기,전자,"규격:454mm, 중량:43kg, 전압:24V DC",1455,30.2,"CE, RoHS",터키,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,보통
21,KE-85881,식품가공기계,기계,"규격:251mm, 중량:21kg, 전압:24V DC",3302,359.6,"FDA, CE",캐나다,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,낮음
